state,year,total_graduates_produced,male_graduates,female_graduates,employed_count,employed_pct,further_study_count,further_study_pct,upgrading_skills_count,upgrading_skills_pct,waiting_placement_count,waiting_placement_pct,unemployed_count,unemployed_pct,total_graduates,total_pct
Terengganu,2024,172400.0,72900.0,99500.0,9295.0,90.2,,,,,,,1011.0,9.8,10306.0,100.0
WP,2023,,,,17974.0,71.8,3802.0,15.2,368.0,1.5,714.0,2.9,2174.0,8.7,25032.0,100.0
WP,2023,,,,475.0,73.0,70.0,10.8,15.0,2.3,29.0,4.5,62.0,9.5,651.0,100.0
WP,2023,,,,1476.0,76.9,275.0,14.3,20.0,1.0,39.0,2.0,109.0,5.7,1919.0,100.0
WP,2024,,,,18628.0,93.9,,,,,,,1202.0,6.1,19830.0,100.0
WP,2024,,,,616.0,94.0,,,,,,,39.0,6.0,655.0,100.0
WP,2024,,,,1448.0,95.3,,,,,,,72.0,4.7,1520.0,100.0
WP Kuala Lumpur,2020,538100.0,272400.0,265700.0,,,,,,,,,,,,
WP Kuala Lumpur,2021,553800.0,277200.0,276600.0,,,,,,,,,,,,
WP Kuala Lumpur,2022,591700.0,291500.0,300100.0,,,,,,,,,,,,
WP Kuala Lumpur,2023,615600.0,307300.0,308300.0,,,,,,,,,,,,
WP Kuala Lumpur,2024,697400.0,361900.0,335500.0,,,,,,,,,,,,
WP Labuan,2020,11000.0,5500.0,5500.0,,,,,,,,,,,,
WP Labuan,2021,11600.0,5600.0,6100.0,,,,,,,,,,,,
WP Labuan,2022,12600.0,6100.0,6500.0,,,,,,,,,,,,
WP Labuan,2023,13000.0,6400.0,6600.0,,,,,,,,,,,,
WP Labuan,2024,13700.0,6300.0,7400.0,,,,,,,,,,,,
WP Putrajaya,2020,35200.0,14600.0,20600.0,,,,,,,,,,,,
WP Putrajaya,2021,36400.0,14700.0,21600.0,,,,,,,,,,,,
WP Putrajaya,2022,40200.0,17000.0,23200.0,,,,,,,,,,,,
WP Putrajaya,2023,40300.0,16200.0,24100.0,,,,,,,,,,,,
WP Putrajaya,2024,41300.0,16700.0,24600.0,,,,,,,,,,,,
