state,district,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Sarawak,Bau,2019-01-01,29.5,28.5,1.0,12.8,69.7,3.2,67.21698113207547
Sarawak,Bau,2020-01-01,28.5,27.6,0.9,14.0,67.0,3.1,64.94117647058823
Sarawak,Bau,2021-01-01,28.4,27.4,1.0,14.8,65.7,3.6,63.279445727482674
Sarawak,Bau,2022-01-01,29.0,28.0,1.0,14.6,66.6,3.3,64.36781609195403
Sarawak,Belaga,2019-01-01,21.5,20.9,0.6,9.4,69.6,2.8,67.63754045307444
Sarawak,Belaga,2020-01-01,22.5,21.5,1.0,7.6,73.2,4.4,70.03257328990227
Sarawak,Belaga,2021-01-01,19.6,18.8,0.8,11.1,63.9,4.2,61.43790849673203
Sarawak,Belaga,2022-01-01,19.7,19.1,0.7,10.9,64.5,3.3,62.41830065359477
Sarawak,Betong,2019-01-01,32.8,31.9,0.9,16.2,67.0,2.7,65.10204081632652
Sarawak,Betong,2020-01-01,31.7,30.3,1.4,17.8,64.0,4.4,61.21212121212122
Sarawak,Betong,2021-01-01,31.3,29.7,1.6,19.4,61.7,5.0,58.57988165680473
Sarawak,Betong,2022-01-01,31.6,30.3,1.3,19.4,61.9,4.1,59.411764705882355
Sarawak,Bintulu,2019-01-01,116.1,113.1,3.0,45.0,72.0,2.6,70.2048417132216
Sarawak,Bintulu,2020-01-01,109.1,105.7,3.4,50.0,68.6,3.1,66.47798742138365
Sarawak,Bintulu,2021-01-01,110.4,106.7,3.7,48.8,69.4,3.4,67.06473915776242
Sarawak,Bintulu,2022-01-01,114.4,111.6,2.8,48.0,70.5,2.5,68.7192118226601
Sarawak,Dalat,2019-01-01,10.2,9.9,0.3,4.6,68.9,3.1,66.89189189189189
Sarawak,Dalat,2020-01-01,10.5,9.9,0.5,4.5,70.1,5.2,66.44295302013423
Sarawak,Dalat,2021-01-01,10.5,10.1,0.5,4.7,69.0,4.6,66.01307189542483
Sarawak,Dalat,2022-01-01,10.6,10.2,0.4,4.8,69.1,4.0,66.23376623376622
Sarawak,Daro,2019-01-01,15.9,15.5,0.4,8.8,64.4,2.5,62.75303643724697
Sarawak,Daro,2020-01-01,15.6,15.0,0.6,9.1,63.1,3.9,60.483870967741936
Sarawak,Daro,2021-01-01,15.8,15.0,0.7,9.5,62.5,4.7,59.523809523809526
Sarawak,Daro,2022-01-01,15.9,15.3,0.7,9.3,63.1,4.1,60.71428571428572
Sarawak,Julau,2019-01-01,8.2,7.9,0.3,4.2,66.4,4.0,63.70967741935484
Sarawak,Julau,2020-01-01,8.4,8.1,0.3,4.1,66.9,3.7,64.8
Sarawak,Julau,2021-01-01,7.9,7.4,0.4,5.0,61.3,5.5,57.8125
Sarawak,Julau,2022-01-01,8.0,7.6,0.4,4.9,62.1,4.7,58.914728682170534
Sarawak,Kanowit,2019-01-01,15.2,14.7,0.5,7.6,66.6,3.5,64.4736842105263
Sarawak,Kanowit,2020-01-01,16.0,15.1,0.8,7.1,69.3,5.2,65.65217391304347
Sarawak,Kanowit,2021-01-01,15.4,14.5,0.8,8.0,65.6,5.3,61.965811965811966
Sarawak,Kanowit,2022-01-01,15.5,14.7,0.8,8.0,65.9,5.1,62.5531914893617
Sarawak,Kapit,2019-01-01,29.2,28.1,1.1,14.5,66.9,3.9,64.30205949656751
Sarawak,Kapit,2020-01-01,30.4,28.6,1.9,13.6,69.1,6.1,65.0
Sarawak,Kapit,2021-01-01,29.5,27.9,1.6,15.4,65.8,5.5,62.1380846325167
Sarawak,Kapit,2022-01-01,30.0,28.4,1.6,15.1,66.5,5.3,62.97117516629711
Sarawak,Kuching,2019-01-01,325.0,315.3,9.7,154.5,67.8,3.0,65.76971214017523
Sarawak,Kuching,2020-01-01,312.2,297.3,14.9,168.7,64.9,4.8,61.82158452900811
Sarawak,Kuching,2021-01-01,334.0,319.5,14.5,154.4,68.4,4.3,65.43108744624206
Sarawak,Kuching,2022-01-01,341.8,330.5,11.3,149.4,69.6,3.3,67.28420195439739
Sarawak,Lawas,2019-01-01,22.4,21.6,0.7,8.7,71.9,3.2,69.45337620578779
Sarawak,Lawas,2020-01-01,23.2,21.9,1.2,8.0,74.2,5.3,70.1923076923077
Sarawak,Lawas,2021-01-01,22.6,21.4,1.2,9.1,71.2,5.3,67.50788643533123
Sarawak,Lawas,2022-01-01,23.0,21.9,1.0,9.1,71.7,4.5,68.4375
Sarawak,Limbang,2019-01-01,27.5,26.4,1.0,10.6,72.2,3.7,69.47368421052632
Sarawak,Limbang,2020-01-01,26.3,25.0,1.4,12.0,68.8,5.2,65.27415143603133
Sarawak,Limbang,2021-01-01,26.2,25.0,1.2,12.6,67.4,4.5,64.43298969072166
Sarawak,Limbang,2022-01-01,26.7,25.7,1.0,12.6,68.0,3.7,65.39440203562341
Sarawak,Lubok Antu,2019-01-01,15.3,14.7,0.6,6.8,69.3,3.7,66.81818181818181
Sarawak,Lubok Antu,2020-01-01,15.2,14.6,0.5,7.0,68.6,3.6,66.06334841628959
Sarawak,Lubok Antu,2021-01-01,15.5,14.7,0.8,7.2,68.1,5.1,64.75770925110133
Sarawak,Lubok Antu,2022-01-01,15.6,14.9,0.7,7.1,68.7,4.6,65.63876651982379
Sarawak,Lundu,2019-01-01,19.4,18.8,0.6,7.3,72.7,3.0,70.4119850187266
Sarawak,Lundu,2020-01-01,19.6,19.1,0.6,7.2,73.0,2.8,71.00371747211896
Sarawak,Lundu,2021-01-01,19.0,18.2,0.8,8.3,69.7,4.2,66.91176470588235
Sarawak,Lundu,2022-01-01,19.2,18.5,0.7,8.2,70.0,3.5,67.51824817518248
Sarawak,Maradong,2019-01-01,15.3,14.8,0.5,8.2,65.0,3.3,62.71186440677966
Sarawak,Maradong,2020-01-01,15.8,15.0,0.9,7.9,66.7,5.4,63.29113924050633
Sarawak,Maradong,2021-01-01,15.2,14.4,0.9,8.7,63.7,5.7,60.25104602510461
Sarawak,Maradong,2022-01-01,15.5,14.7,0.8,8.5,64.5,5.2,61.24999999999999
Sarawak,Marudi,2019-01-01,33.4,32.5,0.8,18.6,64.2,2.5,62.5
Sarawak,Marudi,2020-01-01,34.2,32.9,1.3,17.9,65.7,3.7,63.14779270633397
Sarawak,Marudi,2021-01-01,32.8,31.8,1.0,19.7,62.5,3.1,60.45627376425855
Sarawak,Marudi,2022-01-01,32.7,31.9,0.9,19.1,63.2,2.6,61.58301158301158
Sarawak,Matu,2019-01-01,9.5,9.2,0.3,4.2,69.5,3.5,67.15328467153284
Sarawak,Matu,2020-01-01,10.1,9.7,0.4,3.8,72.7,3.8,69.78417266187049
Sarawak,Matu,2021-01-01,9.3,8.9,0.4,4.8,66.2,4.5,63.57142857142858
Sarawak,Matu,2022-01-01,9.3,9.0,0.4,4.6,66.9,3.8,64.28571428571429
Sarawak,Miri,2019-01-01,164.2,158.6,5.5,82.6,66.5,3.4,64.28860964734496
Sarawak,Miri,2020-01-01,159.7,154.4,5.3,86.4,64.9,3.3,62.73872409589598
Sarawak,Miri,2021-01-01,161.5,155.3,6.2,85.8,65.3,3.8,62.77283751010509
Sarawak,Miri,2022-01-01,164.3,159.3,5.0,82.8,66.5,3.0,64.46782679077297
Sarawak,Mukah,2019-01-01,23.3,22.6,0.8,11.6,66.7,3.2,64.57142857142858
Sarawak,Mukah,2020-01-01,23.6,22.9,0.7,11.3,67.7,2.9,65.61604584527221
Sarawak,Mukah,2021-01-01,22.3,21.3,1.0,13.0,63.3,4.5,60.339943342776216
Sarawak,Mukah,2022-01-01,22.5,21.6,0.9,12.6,64.0,3.9,61.53846153846154
Sarawak,Pakan,2019-01-01,9.1,8.8,0.3,3.1,74.6,3.4,72.13114754098362
Sarawak,Pakan,2020-01-01,8.7,8.4,0.3,3.6,70.6,3.1,68.29268292682926
Sarawak,Pakan,2021-01-01,8.7,8.4,0.3,4.0,68.6,3.4,66.66666666666667
Sarawak,Pakan,2022-01-01,8.8,8.5,0.3,3.9,69.5,3.4,66.92913385826772
Sarawak,Samarahan,2019-01-01,45.6,43.9,1.7,23.1,66.4,3.7,63.901018922852984
Sarawak,Samarahan,2020-01-01,46.6,44.2,2.4,22.6,67.3,5.2,63.8728323699422
Sarawak,Samarahan,2021-01-01,47.1,44.2,2.9,23.6,66.6,6.1,62.51768033946252
Sarawak,Samarahan,2022-01-01,48.3,45.7,2.6,23.3,67.5,5.3,63.826815642458115
Sarawak,Saratok,2019-01-01,24.3,23.7,0.6,11.9,67.1,2.5,65.4696132596685
Sarawak,Saratok,2020-01-01,24.9,23.9,1.0,11.7,68.1,4.1,65.30054644808743
Sarawak,Saratok,2021-01-01,24.5,23.7,0.8,12.9,65.6,3.3,63.36898395721925
Sarawak,Saratok,2022-01-01,24.7,24.1,0.6,12.8,65.9,2.4,64.26666666666667
Sarawak,Sarikei,2019-01-01,31.4,30.5,0.9,14.0,69.2,2.8,67.18061674008811
Sarawak,Sarikei,2020-01-01,32.7,31.2,1.5,12.8,71.8,4.5,68.57142857142857
Sarawak,Sarikei,2021-01-01,33.1,31.4,1.7,13.2,71.5,5.0,67.81857451403887
Sarawak,Sarikei,2022-01-01,33.5,32.1,1.4,13.0,71.9,4.2,69.03225806451613
